customer_id,first_name,last_name,date_of_birth,email,phone_number,address_line1,address_line2,city,state_province,postal_code,country,activation_date
1,Gregory,Miller,1973-10-09,richardwilson@example.org,1 (339) 569-1902,062 Amy Expressway,Suite 705,Yangfurt,Nova Scotia,T7H9X2,CA,2021-06-10
2,Bradley,Walker,1986-11-23,natalie79@example.net,(354) 001-8957,91957 Drake Garden Suite 280,Suite 374,Jonathanton,Nova Scotia,S8T 9K4,CA,2021-05-12
3,Denise,Johnson,1996-02-09,olsontracy@example.com,(314) 452-8821,01448 Michael Circles Suite 410,Suite 311,Abigailstad,Northwest Territories,K9K2Y7,CA,2023-08-05
4,Heather,Owen,1991-04-08,anthonylewis@example.net,608-199-5099 x978,572 Ramos Garden Suite 311,Suite 797,Millerborough,Yukon Territory,K6X2R7,CA,2022-05-11
5,Robert,Nguyen,2006-02-15,mtapia@example.com,1 (923) 055-3791,232 Amanda Hills,Suite 351,Davisstad,Nova Scotia,N5H2N1,CA,2021-08-01
6,Elizabeth,Brewer,1955-04-13,cooperkenneth@example.com,(255) 064-0663 x646,22215 David Heights,Suite 304,West Williamborough,Saskatchewan,X1X 2J4,CA,2023-01-01
7,Juan,Sanchez,1991-07-06,donnamarshall@example.org,136-772-5540,8338 Louis Turnpike Apt. 556,Apt. 324,Heatherhaven,Alberta,X3V 2B7,CA,2022-05-11
8,Nathaniel,Tran,2000-07-20,markestrada@example.com,+1 (692) 760-5568,31344 Serrano Prairie Apt. 238,Apt. 505,North Aprilfort,Saskatchewan,V8L3E1,CA,2020-05-11
9,James,Morrison,1986-07-06,aperez@example.com,(432) 243-4624,920 Anna Ramp Apt. 765,Suite 815,Port Stacey,New Brunswick,A4C 5J4,CA,2020-06-03
10,Caitlin,Morse,1959-04-22,alicia99@example.org,505-576-0830 x409,7886 David Route Apt. 392,Suite 779,New Michaelbury,Prince Edward Island,C8R 6J9,CA,2020-10-07
11,Stacey,Joseph,1935-03-23,ostafford@example.org,342.200.3619,820 Simmons Street,Apt. 870,Port Leroy,British Columbia,C4T 3G4,CA,2020-04-16
12,David,Lang,1992-12-04,petermartin@example.com,1 (408) 603-9501,9393 Mosley Lights,Apt. 133,Kiddtown,Manitoba,V5E6T1,CA,2023-05-20
13,Kevin,Harris,1937-09-30,cynthia45@example.com,1 (145) 341-6836,80184 Russell Underpass Suite 687,Suite 193,Port Michaelstad,Yukon Territory,G6N 8E5,CA,2022-06-01
14,Diana,Sosa,1962-11-29,graydylan@example.net,(199) 147-7158 x102,6426 Pam Isle Suite 750,Apt. 262,East Mary,Northwest Territories,A1J 9V7,CA,2022-05-09
15,Emily,Mcmillan,1988-05-11,willisgary@example.com,361-512-2757,22746 Smith View Apt. 922,Apt. 344,Lake David,Northwest Territories,N5M 7C2,CA,2022-12-27
16,Nicole,Martinez,2006-01-27,nfoster@example.com,478 722 5648,202 Robinson Loop Apt. 983,Apt. 021,Sanfordhaven,Manitoba,V7B 6M5,CA,2022-10-10
17,Rodney,Kelley,1992-08-29,ggarcia@example.com,310 054 0932,17035 Smith Parks Suite 227,Suite 496,Moodybury,Ontario,M9V4J5,CA,2023-03-16
18,Danielle,Collins,1978-05-14,nwilliamson@example.org,+1 (683) 439-3187,07614 William Skyway Apt. 007,Suite 385,Richardsonton,Saskatchewan,K5L 9K6,CA,2020-07-12
19,Daniel,Jones,1976-08-31,erik32@example.org,1 (287) 234-9457,678 Joseph Locks Apt. 570,Apt. 590,West Jesus,Newfoundland and Labrador,C7G8R6,CA,2020-12-22
20,Andrew,Wilson,1963-04-24,megan77@example.com,1 (460) 389-4934,9108 Jensen Pine,Apt. 159,West Alechaven,Nova Scotia,Y2J1N3,CA,2020-10-12
21,William,Patterson,1935-04-09,pamela59@example.com,133.256.8415,5768 Elizabeth Mews,Apt. 809,Curryhaven,Prince Edward Island,Y4R9E4,CA,2023-02-15
22,Richard,Reed,1978-02-12,christinesmith@example.org,1-695-487-0646,8216 Bell Skyway Apt. 173,Suite 741,Smithmouth,Nunavut,E1A 6X6,CA,2020-02-03
23,April,Roach,1969-01-24,brownlinda@example.com,1 (264) 621-1653,257 Nelson Lodge,Apt. 517,Jamesbury,Northwest Territories,N7N 1H5,CA,2022-10-13
24,Mark,Villegas,1965-10-02,bcampbell@example.org,133-457-7722,18580 Garcia Roads,Suite 749,East Rachelfort,Nova Scotia,V1S2A2,CA,2021-08-30
25,Amy,Bowen,1988-04-05,johnsonjeremy@example.com,363.689.5613,84548 Jessica Squares Suite 029,Apt. 819,Lake Davidside,Yukon Territory,T3L 6V2,CA,2021-05-23
26,Sandra,Smith,1938-08-21,brandysilva@example.net,736.800.0031,9787 Andrew Neck,Suite 363,Tracyfurt,Prince Edward Island,K2E 4G4,CA,2022-02-01
27,Cathy,White,1988-06-27,molinadenise@example.net,1-910-321-4393,31744 Pena Meadows,Suite 312,Port Ronaldbury,Northwest Territories,R5L7K7,CA,2021-01-06
28,Lauren,Jones,1948-04-12,tmartin@example.com,956 543 1549,602 Brown Garden,Suite 354,Andersonborough,Nova Scotia,L6G2A2,CA,2023-05-13
29,Charles,Horton,1948-03-22,keithnash@example.com,135.010.1310,17225 Christine Parkway,Suite 981,Port Darrellborough,Nova Scotia,C3J7N9,CA,2020-07-21
30,Cheryl,Huynh,1975-09-19,sara23@example.com,502 578 0931,869 Moore Parks Suite 259,Apt. 954,Jasonside,Nunavut,V4G 5N1,CA,2020-06-03
31,Carol,Martin,1993-10-08,bgonzalez@example.org,586-206-1052,1634 Cunningham Valley,Apt. 661,South Bradshire,Manitoba,C4X 7G8,CA,2020-12-27
32,Sarah,Ortega,1988-04-24,edwardperez@example.org,210-096-7261 x632,068 Rangel Freeway Suite 704,Apt. 386,South Timothyfort,Saskatchewan,L6T3P4,CA,2021-04-24
33,Jeremy,Wood,1934-05-30,heathermcclain@example.org,1 (593) 661-5145,29832 Ashley Manors,Apt. 688,Averyside,Saskatchewan,L3J4N9,CA,2021-09-30
34,Deborah,Larson,1997-01-31,paulamalone@example.net,565-326-3916,66624 Howard Trace Apt. 284,Suite 753,West Amy,Yukon Territory,N9H 3K6,CA,2022-02-26
35,Aaron,Nguyen,1949-03-03,epearson@example.com,+1 (407) 746-7901,854 Fuentes Pike Suite 454,Suite 135,Sanchezton,New Brunswick,E9L8E7,CA,2023-07-23
36,Nicholas,Spence,1943-11-06,mark08@example.com,756-340-0369,9996 Carrillo Row Apt. 560,Suite 249,Mclaughlinside,Northwest Territories,M5N7A6,CA,2020-11-13
37,Melinda,Mays,1962-06-19,jeremymartinez@example.org,187-959-1487 x513,3133 Trevor Estates Apt. 729,Apt. 510,Reyesburgh,Newfoundland and Labrador,P9R 5G5,CA,2020-02-25
38,Andrea,Jones,1985-10-20,carla10@example.org,136 432 8098,8864 Charlotte Rapid,Apt. 170,Kathyview,British Columbia,L6B 9E8,CA,2023-04-06
39,Tara,Henson,1998-12-21,boonebenjamin@example.com,1-828-218-3037,11652 Klein Knolls,Apt. 229,Jasonstad,Manitoba,N5Y 4V1,CA,2021-10-28
